ID_Frase,Frase_Original,N_Perturbacoes,Estabilidade_Jaccard,Top_Palavras,Explicacao_SLM
1,Bomxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxx,10,0.0,"[np.str_('xxxxxxxxx'), np.str_('xxxxxxxxxxxx'), np.str_('Bomxxxxxxxxxxxxxxxxxxx'), np.str_('xxxxxxxxxxxxx')]","Com base nos pesos calculados pelo LIME, podemos ver que a única palavra com um peso positivo é ""Bom"", mas seu peso é praticamente zero. As outras palavras na frase têm pesos negativos ou zero. Isso significa que, embora ""Bom"" seja a única palavra que sugere um sentimento positivo, o modelo considera que seu impacto é tão pequeno que não é suficiente para influenciar a classificação final. Portanto, o modelo decidiu que a frase como um todo tem um sentimento negativo."
1,Bomxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxx,50,1.0,"[np.str_('xxxxxxxxxxxx'), np.str_('xxxxxxxxx'), np.str_('xxxxxxxxxxxxx'), np.str_('Bomxxxxxxxxxxxxxxxxxxx')]","Com base nos pesos calculados pelo LIME, é possível entender que a única palavra com peso significativo é ""Bom"", que foi completamente coberta por ""xxxxxxxxxxxxxxxxxxx"". Como todos os outros pesos são zero, o modelo não encontrou nenhuma outra palavra importante na frase. Portanto, mesmo que ""Bom"" fosse positivo, a presença de tantos caracteres não identificados o sufocou, resultando em uma classificação neutra ou negativa, pois não houve nenhum elemento positivo identificável."
1,Bomxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxx,100,1.0,"[np.str_('xxxxxxxxx'), np.str_('xxxxxxxxxxxx'), np.str_('xxxxxxxxxxxxx'), np.str_('Bomxxxxxxxxxxxxxxxxxxx')]","Com base nos pesos calculados pelo LIME, podemos ver que a única palavra com um significado claro é ""Bom"", que tem um peso de 0.0000, praticamente nulo. As outras palavras são apenas caracteres aleatórios, sem nenhum impacto no sentimento. Portanto, sem nenhuma palavra com peso significativo, o modelo não tem elementos para classificar a frase como positiva ou negativa, resultando em uma decisão neutra ou indeterminada."
1,Bomxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxx,200,1.0,"[np.str_('xxxxxxxxx'), np.str_('xxxxxxxxxxxx'), np.str_('Bomxxxxxxxxxxxxxxxxxxx'), np.str_('xxxxxxxxxxxxx')]","Com base nos pesos calculados pelo LIME, podemos ver que a única palavra com um peso positivo é ""Bom"", mas seu peso é extremamente baixo, quase zero. As outras palavras na frase têm pesos negativos ou zero. Isso indica que, embora ""Bom"" seja a única palavra com um significado positivo, seu peso muito baixo não é suficiente para influenciar a classificação do sentimento da frase. Portanto, o modelo decidiu que a frase é negativa."
1,Bomxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxx,500,1.0,"[np.str_('Bomxxxxxxxxxxxxxxxxxxx'), np.str_('xxxxxxxxxxxxx'), np.str_('xxxxxxxxx'), np.str_('xxxxxxxxxxxx')]","Com base nos pesos calculados pelo LIME, é possível entender que o modelo não encontrou nenhum termo significativo na frase que pudesse influenciar a classificação de sentimento. A única palavra com algum conteúdo, ""Bom"", teve um peso de 0.0000, o que significa que o modelo considerou que ela não contribuiu para a decisão final. Portanto, sem palavras que indicassem um sentimento positivo ou negativo, o modelo não pôde classificar a frase, resultando em uma decisão neutra ou indeterminada."
1,Bomxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxxxxxx xxxxxxxxxxxx xxxxxxxxx,1000,1.0,"[np.str_('Bomxxxxxxxxxxxxxxxxxxx'), np.str_('xxxxxxxxxxxx'), np.str_('xxxxxxxxxxxxx'), np.str_('xxxxxxxxx')]","Com base nos pesos calculados pelo LIME, podemos ver que todas as palavras na frase têm pesos muito baixos, incluindo a única palavra legível ""Bom"", que tem um peso de 0.0000. Isso sugere que o modelo não encontrou nenhum termo importante o suficiente para influenciar a classificação do sentimento. Portanto, sem palavras significativas para apoiar uma classificação positiva ou negativa, o modelo decidiu que a frase não expressa claramente nenhum sentimento, resultando em uma classificação neutra ou indeterminada."
2,"Muito bonito e de excelente qualidade. Feito na medida certa,para famílias pequenas.",10,0.0,"[np.str_('excelente'), np.str_('Muito'), np.str_('bonito'), np.str_('e')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""excelente"", ""Muito"" e ""bonito"" têm pesos positivos, indicando que essas expressões têm um impacto positivo na classificação do sentimento da frase. A palavra ""excelente"", com o peso mais alto, é particularmente influente, sugerindo que o modelo considera a frase como positiva devido à forte expressão de qualidade positiva presente nela."
2,"Muito bonito e de excelente qualidade. Feito na medida certa,para famílias pequenas.",50,0.6,"[np.str_('excelente'), np.str_('Muito'), np.str_('Feito'), np.str_('bonito')]","Com base nos pesos calculados pelo LIME, podemos ver que a frase é predominantemente positiva. Palavras como ""excelente"" e ""bonito"" têm pesos positivos significativos, indicando que essas expressões têm um forte impacto positivo no sentimento. A palavra ""Feito"", no entanto, tem um peso negativo leve, mas as palavras ""Muito"" e ""bonito"" são suficientemente positivas para dominar a classificação. Portanto, o modelo decidiu que a frase é positiva."
2,"Muito bonito e de excelente qualidade. Feito na medida certa,para famílias pequenas.",100,0.6,"[np.str_('excelente'), np.str_('Muito'), np.str_('bonito'), np.str_('na')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""excelente"", ""Muito"" e ""bonito"" têm pesos positivos significativos, indicando que essas expressões positivas têm um grande impacto na classificação do sentimento da frase. A palavra ""na"" tem um peso negativo leve, mas não é suficiente para influenciar a classificação final. Portanto, o modelo decidiu que a frase é positiva, pois as palavras com pesos positivos são as que pesam mais na decisão."
2,"Muito bonito e de excelente qualidade. Feito na medida certa,para famílias pequenas.",200,0.6,"[np.str_('excelente'), np.str_('Muito'), np.str_('bonito'), np.str_('pequenas')]","Com base nos pesos calculados pelo LIME, o modelo considerou que a frase é positiva porque as palavras ""excelente"", ""Muito"" e ""bonito"" têm pesos positivos significativos, indicando sentimentos positivos. A palavra ""pequenas"", embora tenha um peso negativo leve, não é suficientemente forte para contrabalançar os termos positivos, mantendo assim a classificação geral como positiva."
2,"Muito bonito e de excelente qualidade. Feito na medida certa,para famílias pequenas.",500,0.6,"[np.str_('excelente'), np.str_('Muito'), np.str_('bonito'), np.str_('qualidade')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""excelente"", ""Muito"", ""bonito"" e ""qualidade"" têm pesos positivos, indicando que essas expressões contribuem para um sentimento positivo. Especificamente, ""excelente"" tem o peso mais alto, seguido por ""Muito"", ""bonito"" e ""qualidade"". Isso sugere que o modelo considera essas palavras como muito importantes para a classificação positiva da frase, levando-o a concluir que a frase expressa um sentimento positivo."
2,"Muito bonito e de excelente qualidade. Feito na medida certa,para famílias pequenas.",1000,1.0,"[np.str_('excelente'), np.str_('Muito'), np.str_('bonito'), np.str_('qualidade')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras com pesos mais positivos são ""excelente"" e ""Muito"", que juntas contribuem significativamente para a classificação positiva da frase. As palavras ""bonito"" e ""qualidade"" também ajudam, embora com pesos menores. Portanto, o modelo concluiu que a frase é positiva devido à presença de termos altamente positivos como ""excelente"" e ""Muito""."
3,A torneira não instalei ainda mas parece ser de muito boa qualidade! linda demais e preço justo!,10,0.0,"[np.str_('não'), np.str_('preço'), np.str_('linda'), np.str_('de')]","Com base nos pesos calculados pelo LIME, podemos ver que a frase tem elementos positivos e negativos. A palavra ""não"" tem um peso negativo leve (-0.0481), sugerindo um pequeno impacto negativo. Por outro lado, as palavras ""linda"" e ""preço justo"" têm pesos positivos leves (0.0303 e 0.0434, respectivamente), indicando que esses termos têm um efeito positivo. Embora o peso negativo seja ligeiramente maior, a presença de termos positivos leva o modelo a classificar o sentimento da frase como ligeiramente positivo."
3,A torneira não instalei ainda mas parece ser de muito boa qualidade! linda demais e preço justo!,50,0.3333333333333333,"[np.str_('não'), np.str_('boa'), np.str_('preço'), np.str_('muito')]","Com base nos pesos calculados pelo LIME, podemos ver que a frase tem elementos positivos e negativos. A palavra ""boa"" com seu peso positivo de 0.0725 e as palavras ""linda demais"" e ""preço justo"" sugerem uma opinião positiva. No entanto, a palavra ""não"" com seu peso negativo de -0.0953 indica que algo não foi feito, o que pode ser um pequeno contraponto. No geral, as palavras com pesos mais altos são positivas, indicando que o modelo considera a frase como levemente positiva."
3,A torneira não instalei ainda mas parece ser de muito boa qualidade! linda demais e preço justo!,100,1.0,"[np.str_('não'), np.str_('boa'), np.str_('preço'), np.str_('muito')]","Com base nos pesos calculados pelo LIME, o modelo considerou que a frase tem um sentimento positivo, embora não seja muito forte. Isso ocorre porque as palavras ""boa"" e ""preço justo"" têm pesos positivos, indicando aspectos positivos. No entanto, a palavra ""não"" tem um peso negativo leve, sugerindo que algo ainda não foi concluído. A palavra ""linda demais"" também contribui positivamente, mas não há pesos suficientemente altos para dominar a classificação, resultando em um sentimento geral positivo, mas não muito forte."
3,A torneira não instalei ainda mas parece ser de muito boa qualidade! linda demais e preço justo!,200,1.0,"[np.str_('não'), np.str_('boa'), np.str_('preço'), np.str_('muito')]","Com base nos pesos calculados pelo LIME, o modelo considerou que a frase tem um sentimento positivo, embora não seja muito forte. Isso ocorre porque as palavras ""boa"" e ""preço justo"" têm pesos positivos, indicando aspectos positivos. No entanto, a palavra ""não"" tem um peso negativo leve, que diminui ligeiramente a classificação positiva. As palavras ""linda demais"" também contribuem positivamente, mas não há dados suficientes para incluí-las nesse resumo."
3,A torneira não instalei ainda mas parece ser de muito boa qualidade! linda demais e preço justo!,500,1.0,"[np.str_('não'), np.str_('preço'), np.str_('boa'), np.str_('muito')]","Com base nos pesos calculados pelo LIME, o modelo considera que a frase tem um sentimento positivo, embora não seja muito forte. Isso ocorre porque as palavras ""boa"" e ""linda demais"" têm pesos positivos, indicando que essas expressões têm um impacto positivo na classificação. No entanto, a palavra ""não"" tem um peso negativo leve, sugerindo que algo não foi feito ainda, como instalar a torneira. O peso do ""preço justo"" é neutro, não afetando significativamente o sentimento. A combinação desses pesos leva o modelo a classificar a frase como ligeiramente positiva."
3,A torneira não instalei ainda mas parece ser de muito boa qualidade! linda demais e preço justo!,1000,1.0,"[np.str_('não'), np.str_('preço'), np.str_('boa'), np.str_('muito')]","Com base nos pesos calculados pelo LIME, podemos ver que a frase tem elementos positivos e negativos. A palavra ""não"" tem um peso negativo leve (-0.1130), sugerindo um pequeno impacto negativo. Por outro lado, palavras como ""boa"" (0.0571) e ""linda demais"" (embora seu peso não seja fornecido, podemos inferir que é positivo) têm pesos positivos leves, enquanto ""preço justo"" (0.0611) também contribui positivamente. A combinação desses pesos levemente positivos indica que o modelo decidiu que a frase tem um sentimento ligeiramente positivo, apesar do ""não"" inicial."
4,Chegou  antes  do  prazo  estabelecido. . Obrigado  ... #americanas #BW  DIGITAL,10,0.0,"[np.str_('americanas'), np.str_('prazo'), np.str_('Chegou'), np.str_('antes')]","Com base nos pesos calculados pelo LIME, podemos ver que a palavra ""antes"" tem o maior peso positivo, indicando que a chegada do produto antes do prazo estabelecido teve um efeito positivo na sua percepção. Embora as palavras ""americanas"" e ""prazo"" tenham pesos levemente negativos e positivos, respectivamente, o peso de ""antes"" é significativamente maior, puxando a classificação para a categoria positiva. Além disso, a expressão ""Obrigado..."" também sugere gratidão, reforçando a classificação final como positiva."
4,Chegou  antes  do  prazo  estabelecido. . Obrigado  ... #americanas #BW  DIGITAL,50,0.6,"[np.str_('prazo'), np.str_('americanas'), np.str_('antes'), np.str_('DIGITAL')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""prazo"" e ""antes"" têm pesos positivos, indicando que essas palavras contribuem para um sentimento positivo. No entanto, as palavras ""americanas"" e ""DIGITAL"" têm pesos negativos, que são relativamente pequenos. Dado que os pesos positivos são ligeiramente mais influentes, o modelo decidiu que a frase tem um sentimento ligeiramente positivo, provavelmente porque o produto chegou antes do prazo estabelecido, o que é geralmente visto como uma boa notícia."
4,Chegou  antes  do  prazo  estabelecido. . Obrigado  ... #americanas #BW  DIGITAL,100,0.6,"[np.str_('prazo'), np.str_('americanas'), np.str_('antes'), np.str_('Chegou')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""prazo"" e ""antes"" têm pesos positivos levemente acima de zero, indicando que essas palavras contribuem positivamente para a classificação. No entanto, a palavra ""americanas"" tem um peso negativo mais significativo, sugerindo que ela pode estar desempenhando um papel negativo. Embora ""Chegou"" tenha um peso positivo muito pequeno, a presença de ""americanas"" com um peso negativo mais forte sugere que o modelo decidiu que a frase como um todo tem um sentimento ligeiramente negativo."
4,Chegou  antes  do  prazo  estabelecido. . Obrigado  ... #americanas #BW  DIGITAL,200,1.0,"[np.str_('prazo'), np.str_('americanas'), np.str_('antes'), np.str_('Chegou')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""prazo"" e ""antes"" têm pesos positivos, indicando que essas palavras contribuem para um sentimento positivo. No entanto, a palavra ""americanas"" tem um peso negativo, sugerindo que ela pode ter um impacto negativo no sentimento. Embora o peso de ""americanas"" seja o mais significativo, a combinação de pesos positivos para ""prazo"" e ""antes"" sugere que o modelo ainda classificou essa frase como positiva, possivelmente devido à ênfase em cumprimento do prazo."
4,Chegou  antes  do  prazo  estabelecido. . Obrigado  ... #americanas #BW  DIGITAL,500,1.0,"[np.str_('prazo'), np.str_('americanas'), np.str_('antes'), np.str_('Chegou')]","Com base nos pesos calculados pelo LIME, podemos ver que a frase é positiva, pois as palavras ""antes"" e ""Chegou"" têm pesos ligeiramente positivos. A palavra ""prazo"" também contribui positivamente, indicando que o produto chegou antes do esperado. No entanto, a palavra ""americanas"" tem um peso negativo leve, mas as outras palavras têm pesos mais positivos e maiores. Portanto, a frase é classificada como positiva, com ênfase na pontualidade e gratidão expressas."
4,Chegou  antes  do  prazo  estabelecido. . Obrigado  ... #americanas #BW  DIGITAL,1000,1.0,"[np.str_('prazo'), np.str_('americanas'), np.str_('antes'), np.str_('Chegou')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""prazo"" e ""antes"" têm pesos positivos, indicando que essas palavras contribuem para um sentimento positivo. No entanto, a palavra ""americanas"" tem um peso negativo, sugerindo que ela pode estar trazendo algum contexto negativo. Embora o peso de ""Chegou"" seja positivo, ele é o menor dos positivos, o que não é suficiente para compensar o peso negativo de ""americanas"". Portanto, o modelo decidiu que a frase tem um sentimento ligeiramente negativo devido ao peso negativo da palavra ""americanas""."
5,Gostei muito! Chegou rápido! Exatamente o produto demostrado nas imagens para compra.,10,0.0,"[np.str_('Chegou'), np.str_('muito'), np.str_('Exatamente'), np.str_('produto')]","Com base nos pesos calculados pelo LIME, podemos ver que as palavras ""muito"" e ""Chegou"" têm pesos significativos positivos, indicando que essas expressões contribuíram positivamente para a classificação da frase como positiva. A palavra ""Exatamente"" também teve um pequeno peso positivo, sugerindo que a precisão do produto em relação às imagens também foi vista de maneira positiva. Juntas, essas palavras ajudaram a modelar o sentimento positivo da frase."
